ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
GUY,4908.573542,5378.733644,5489.113841,5407.089963,5576.833337,5811.375322,6124.929967,6145.842411,6609.586425
HIC,41538.63297,41344.8138,41629.14606,42298.31077,39734.91096,40343.12946,42013.14613,44415.46497,44612.48583
HKG,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43731.10682,46165.85651,48543.40099,48713.47375
HND,2088.3153,2144.342611,2102.593166,2206.051934,2302.201379,2342.584651,2453.727896,2505.776752,2574.912191
HPC,851.248196,879.5912557,954.1389892,978.2233235,942.4578521,907.0156987,939.5091035,972.9429143,976.7418087
HRV,14609.52435,13258.35985,13674.4178,13599.40978,11781.73479,12361.48383,13451.62495,15014.08502,14936.10055
HTI,1287.954058,1337.335431,1393.955951,1402.100156,1389.11952,1265.987633,1294.239746,1435.351756,1272.490925
HUN,14216.16561,12950.68652,13687.51406,14267.01215,12706.89121,13090.50673,14605.85435,16410.18726,16731.82151
IBD,5288.467871,5567.688619,5824.464575,5966.699177,5581.960559,5573.101378,6094.402465,6448.808924,6548.47538
IBT,4312.89893,4530.903411,4738.083674,4850.218877,4540.028878,4505.968046,4889.152903,5152.641591,5218.500475
IDA,1191.93609,1255.94428,1351.086986,1414.740409,1376.563719,1306.015544,1319.412191,1365.854651,1388.833437
IDB,1721.487865,1859.73355,1972.599398,2068.654591,1949.312703,1774.194366,1718.482332,1756.039606,1765.664408
IDN,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756,3837.651731,3893.846425,4135.569263
IDX,918.4830955,942.1106466,1028.266348,1074.40999,1079.850928,1066.081166,1118.026547,1170.105606,1200.92518
IMN,77351.95888,79149.26855,83366.06636,92334.64631,85124.92498,82206.009,83489.81704,89108.42814,
IND,1458.103527,1443.879529,1449.605912,1573.881492,1605.605434,1732.564262,1981.65105,2005.863005,2099.599048
INX,,,,,,,,,
IRL,51848.9097,48917.89761,51590.18859,55492.98256,61995.4228,63197.0824,69822.34708,78621.22793,78660.95646
IRN,7781.406114,7927.846902,6018.324473,5585.526758,4904.326877,5253.42491,5520.310471,5550.060957,
IRQ,6036.396243,6829.963954,7076.87718,6818.804621,4989.803075,4777.197619,5205.288255,5834.166211,5955.10901
ISL,47516.87469,45910.02054,49522.23658,54241.93464,52564.42918,61466.80395,71310.93926,72968.70423,66944.83308
ISR,33669.24648,32511.23785,36309.46883,37678.88977,35776.79516,37321.62404,40541.86209,41719.72544,43592.08358
ITA,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34615.75689,33228.23668
JAM,5111.471413,5209.851931,4989.171391,4833.790318,4907.50372,4843.338474,5069.183838,5354.236859,5582.263778
JOR,3852.752767,3909.907569,4043.749038,4130.879055,4164.107876,4176.58891,4234.403133,4312.180117,4405.488412
JPN,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38761.81815,38386.51115,39159.42356,40246.88013
KAZ,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9247.581331,9812.601405,9812.390376
KEN,971.633329,1136.871406,1210.388014,1315.804535,1336.883349,1410.527568,1572.335496,1707.986805,1816.546916
KGZ,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.140165,1309.392992
KHM,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1269.591257,1385.25998,1512.12671,1643.121389
